County,Rec_Budget Estimates,Dev_Budget Estimates,Total_Budget Estimates,Rec_Expenditure ,Dev_Expenditure ,Total_Expenditure ,Recurrent Absorption Rate (%),Development Absorption Rate (%),Overall Absorption Rate,FYear,CID
Baringo,3540.88,2360.89,5901.78,3415.48,1273.08,4688.56,96.5,53.9,79.4,2015-2016,30
Bomet,2738.27,2432.69,5170.96,2769.96,2300.87,5070.83,101.2,94.6,98.1,2015-2016,36
Bungoma,6080,3973.69,10053.7,5251.9,3022.9,8274.8,86.4,76.1,82.3,2015-2016,39
Busia,3697,3603.61,7300.61,3409.77,2487.21,5865.76,92.2,69,80.3,2015-2016,40
Elgeyo Marakwet,2417.07,1433.24,3850.3,2274.58,653.94,2928.52,94.1,45.6,76.1,2015-2016,28
Embu,3407.19,2325.15,5732.35,3024.85,932.31,3957.16,88.8,40.1,69,2015-2016,14
Garissa,4101.55,3300.74,7402.29,3945.5,2600.9,6546.4,96.2,78.8,88.4,2015-2016,7
Homa Bay,4144.99,2406.56,6551.54,3873.01,1903.11,5776.12,93.4,79.1,88.2,2015-2016,43
Isiolo,2279.09,1456.27,3735.36,2127.49,1118.64,3246.13,93.3,76.8,86.9,2015-2016,11
Kajiado,4109.76,2717.77,6827.53,3595.71,1544.66,5140.37,87.5,56.8,75.3,2015-2016,34
Kakamega,6446.74,5865.71,12312.45,5605.76,4246.53,9852.29,87,72.4,80,2015-2016,37
Kericho,3423.27,2146.89,5570.16,3135.78,1676.54,4812.32,91.6,78.1,86.4,2015-2016,35
Kiambu,8298.07,3182.86,11480.94,8161.63,2265.67,10427.29,98.4,71.2,90.8,2015-2016,22
Kilifi,5572.34,5947.85,11520.19,4743.5,3725.87,8469.37,85.1,62.6,73.5,2015-2016,3
Kirinyaga,3266.19,1511.3,4777.49,3075.46,1065.09,4140.55,94.2,70.5,86.7,2015-2016,20
Kisii,5578.92,3601.15,9180.08,5399.74,2540.71,7940.45,96.8,70.6,86.5,2015-2016,45
Kisumu,5603.95,4033.67,9637.62,4611.29,1828.68,6439.96,82.3,45.3,66.8,2015-2016,42
Kitui,4691.76,5422.59,10114.35,4098.7,3771.92,7870.62,87.4,69.6,77.8,2015-2016,15
Kwale,2846,4765.48,7611.48,2543.64,3257.63,5801.27,89.4,68.4,76.2,2015-2016,2
Laikipia,3015.24,2169.14,5184.38,2676.56,1317.55,3994.11,88.8,60.7,77,2015-2016,31
Lamu,1757.12,1423.11,3180.23,1588.9,916.56,2505.46,90.4,64.4,78.8,2015-2016,5
Machakos,6018.2,5699.97,11718.17,5788.69,2539.96,8328.65,96.2,44.6,71.1,2015-2016,16
Makueni,4704.41,4745.52,9449.93,4001.25,1504.47,5505.73,85.1,31.7,58.3,2015-2016,17
Mandera,4216.87,7284.54,11501.42,4101.76,5450.7,9552.46,97.3,74.8,83.1,2015-2016,9
Marsabit,3201.67,3075.28,6276.95,3042.8,2235.94,5278.74,95,72.7,84.1,2015-2016,10
Meru,5397.15,2825.87,8223.02,4550.23,1661.35,6211.58,84.3,58.8,75.5,2015-2016,12
Migori,4046.38,3222.98,7269.37,3720.31,2152.73,5873.04,91.9,66.8,80.8,2015-2016,44
Mombasa,6823.18,3155.6,9978.79,5770.44,2774.61,8545.04,84.6,87.9,85.6,2015-2016,1
Muranga,3548.44,3351.84,6900.28,3327.59,2719.23,6046.82,93.8,81.1,87.6,2015-2016,21
Nairobi,21209.4,7878.67,29088.07,19784.87,4166.16,23951.02,93.3,52.9,82.3,2015-2016,47
Nakuru,8601.58,5383.42,13985,8154.72,2230.89,10385.61,94.8,41.4,74.3,2015-2016,32
Nandi,3147.43,2552.57,5700,3019.66,1974.92,4994.58,95.9,77.4,87.6,2015-2016,29
Narok,5588.97,2718.01,8306.98,5130.3,2108.6,7238.91,91.8,77.6,87.1,2015-2016,33
Nyamira,3093.26,2357.3,5450.56,3033.54,1284.15,4317.69,98.1,54.5,79.2,2015-2016,46
Nyandarua,3437.91,2159.15,5597.06,3195.13,1679.72,4874.85,92.9,77.8,87.1,2015-2016,18
Nyeri,4419.61,1857.94,6277.55,3804.18,1161.27,4965.45,86.1,62.5,79.1,2015-2016,19
Samburu,2670.26,1778.65,4448.91,2503,1156.64,3659.64,93.7,65,82.3,2015-2016,25
Siaya,3724.24,3222.08,6946.33,3098.21,1835.09,4933.3,83.2,57,71,2015-2016,41
Taita Taveta,2906.68,1249.09,4155.77,2948.67,513.56,3462.23,101.4,41.1,83.3,2015-2016,6
Tana River,1767.69,2799.2,4566.89,1614.58,2250.44,3865.02,91.3,80.4,84.6,2015-2016,4
Tharaka Nithi,2276.88,1538.87,3815.75,1905.3,790.94,2696.24,83.7,51.4,70.7,2015-2016,13
Trans Nzoia,3246.98,2907.89,6154.87,3543.53,1789.8,5333.33,109.1,61.5,86.7,2015-2016,26
Turkana,3810.69,9707.43,13518.11,3757.05,6402.92,10159.96,98.6,66,75.2,2015-2016,23
Uasin Gishu,4589.73,2952.89,7542.63,3991.47,2220.83,6212.3,87,75.2,82.4,2015-2016,27
Vihiga,2726.18,1641.58,4367.76,2037.97,970.28,3008.25,74.8,59.1,68.9,2015-2016,38
Wajir,3809.52,4463.28,8272.8,3966.7,3800.35,7767.05,104.1,85.1,93.9,2015-2016,8
West Pokot,2823.03,2007.46,4830.49,2755.3,1595.3,4350.6,97.6,79.5,90.1,2015-2016,24
Baringo,3901.72,2609.72,6511.44,3748.09,1466.3,5214.39,96.1,56.2,80.1,2016-2017,30
Bomet,3911.94,1671.01,5582.95,3322.59,1491.95,4814.54,84.9,89.3,86.2,2016-2017,36
Bungoma,6685.75,3784.24,10469.99,6147.99,1844.19,7992.18,92,48.7,76.3,2016-2017,39
Busia,4471.32,3074.32,7545.63,3917.79,1963.61,5881.4,87.6,63.9,77.9,2016-2017,40
"Elgeyo/
Marakwet",2886.76,1852.41,4739.17,2797.01,1167.67,3964.68,96.9,63,83.7,2016-2017,28
Embu,4145.77,2579.7,6725.47,3660.08,2099.16,5759.24,88.3,81.4,85.6,2016-2017,14
Garissa,4764.56,2805.96,7570.52,4681.63,2442.06,7123.69,98.3,87,94.1,2016-2017,7
Homa Bay,4633.84,2098.07,6731.91,4319.67,1417.52,5737.18,93.2,67.6,85.2,2016-2017,43
Isiolo,2316.97,1429.46,3746.42,2200.22,1266.24,3466.45,95,88.6,92.5,2016-2017,11
Kajiado,4354.48,2655.9,7010.38,3811.52,1250.4,5061.92,87.5,47.1,72.2,2016-2017,34
Kakamega,6044.61,6325.15,12369.76,5636.36,5208.76,10845.12,93.2,82.4,87.7,2016-2017,37
Kericho,3854.29,2444.66,6298.95,3578.22,2022.5,5600.72,92.8,82.7,88.9,2016-2017,35
Kiambu,8806.63,3592.52,12399.15,8301.08,2510.49,10811.57,94.3,69.9,87.2,2016-2017,22
Kilifi,6502.05,6830.75,13332.8,5711.1,4473.13,10184.22,87.8,65.5,76.4,2016-2017,3
Kirinyaga,3369.02,1875.84,5244.86,3163.04,1083.54,4246.58,93.9,57.8,81,2016-2017,20
Kisii,6361.32,3709.21,10070.53,5970.72,2014.89,7985.61,93.9,54.3,79.3,2016-2017,45
Kisumu,6230.62,3164.6,9395.21,4855.29,1982.57,6837.85,77.9,62.6,72.8,2016-2017,42
Kitui,5750.3,5220.1,10970.41,4625.95,3688.65,8314.6,80.4,70.7,75.8,2016-2017,15
Kwale,4326.16,3622.35,7948.51,3803.95,2056.69,5860.63,87.9,56.8,73.7,2016-2017,2
Laikipia,3500.27,2466.22,5966.49,3163.58,1547.09,4710.67,90.4,62.7,79,2016-2017,31
Lamu,1991.54,1219.72,3211.26,1526.22,467.34,1993.56,76.6,38.3,62.1,2016-2017,5
Machakos,7508.05,3373.91,10881.96,5805.22,3343.57,9148.79,77.3,99.1,84.1,2016-2017,16
Makueni,5154.66,5497.78,10652.44,4885.98,4036.53,8922.5,94.8,73.4,83.8,2016-2017,17
Mandera,4789.97,7238.82,12028.79,4365.46,5831.48,10196.94,91.1,80.6,84.8,2016-2017,9
Marsabit,3609.18,3210,6819.18,3349.74,2791.75,6141.49,92.8,87,90.1,2016-2017,10
Meru,6924.21,3216.89,10141.1,6105.03,2238.99,8344.02,88.2,69.6,82.3,2016-2017,12
Migori,4749.07,2981.63,7730.69,3949.18,1869.61,5818.79,83.2,62.7,75.3,2016-2017,44
Mombasa,7657.84,3989.86,11647.7,6390.49,2743.15,9133.63,83.5,68.8,78.4,2016-2017,1
Murang’a,4707.53,3505.29,8212.82,4394.89,2037.43,6432.31,93.4,58.1,78.3,2016-2017,21
"Nairobi
City",23460.81,11324.05,34784.86,21078.91,3779.73,24858.64,89.8,33.4,71.5,2016-2017,47
Nakuru,9251.15,5839.4,15090.55,8613.38,2049.83,10663.21,93.1,35.1,70.7,2016-2017,32
Nandi,4377.21,2526.11,6903.32,3497.04,1803.76,5300.8,79.9,71.4,76.8,2016-2017,29
Narok,5682.88,3396.67,9079.55,5323.29,2150.67,7473.96,93.7,63.3,82.3,2016-2017,33
Nyamira,3938.16,1670.9,5609.06,3522.39,979.21,4501.6,89.4,58.6,80.3,2016-2017,46
Nyandarua,3722.63,1945.5,5668.12,3320.3,1642.72,4963.02,89.2,84.4,87.6,2016-2017,18
Nyeri,4977.49,2304.91,7282.4,4464.4,1220.7,5685.09,89.7,53,78.1,2016-2017,19
Samburu,3206.18,1462.13,4668.31,2903.56,1263.84,4167.4,90.6,86.4,89.3,2016-2017,25
Siaya,3917.08,3153.25,7070.33,3646.81,1983.35,5630.16,93.1,62.9,79.6,2016-2017,41
"Taita/
Taveta",3240.52,1415.92,4656.44,2979.38,405.65,3385.03,91.9,28.6,72.7,2016-2017,6
Tana River,2227.56,2357.66,4585.21,1767.24,1779.13,3546.37,79.3,75.5,77.3,2016-2017,4
"Tharaka
-Nithi",2686.75,1273.16,3959.9,2227.13,546.72,2773.84,82.9,42.9,70,2016-2017,13
"Trans
Nzoia",4224.48,2650.52,6875,4293.25,1711.19,6004.44,101.6,64.6,87.3,2016-2017,26
Turkana,5487.83,8878.12,14365.95,5031.5,6159.91,11191.41,91.7,69.4,77.9,2016-2017,23
"Uasin
Gishu",5042.94,2676.15,7719.09,4134.22,1460.35,5594.56,82,54.6,72.5,2016-2017,27
Vihiga,3529.59,1511.05,5040.64,2925.55,793.12,3718.68,82.9,52.5,73.8,2016-2017,38
Wajir,4588.44,4093.5,8681.95,4559.41,3688.78,8248.19,99.4,90.1,95,2016-2017,8
West Pokot,3414.26,1832.13,5246.39,3238.44,1565.65,4804.09,94.9,85.5,91.6,2016-2017,24
