County,BudgetCA,ExpenditureCA,Expendi-ture as % of BudgetCA,BudgetCE,ExpenditureCE,Expenditure as %of BudgetCE,Budget,Expenditure,Expenditure as % of Budget,FYear,CID
Baringo,48.09,39.76,82.7,87.77,86.11,98.1,136,125.87,92.6,2015-2016,
Bomet,93.07,93.07,100,63.73,63.73,100,157,156.8,100,2015-2016,
Bungoma,20.32,19.2,94.5,356.04,332.13,93.3,376,351.33,93.3,2015-2016,
Busia,64.71,65.3,100.9,256.2,230.48,90,320.91,295.79,92.2,2015-2016,
Elgeyo Marakwet,48.85,48.84,100,36.37,27.95,76.8,85,76.79,90.1,2015-2016,
Embu,109.49,106.81,97.6,36.96,24.98,67.6,146,131.79,90,2015-2016,
Garissa,46.03,43.94,95.5,128.34,122.8,95.7,174,166.74,95.6,2015-2016,
Homa Bay,35.13,59.24,168.6,93.72,40.05,42.7,129,99.3,77.1,2015-2016,
Isiolo,60.82,59.16,97.3,107.03,90.86,84.9,168,150.02,89.4,2015-2016,
Kajiado,152.75,116.83,76.5,341.96,268.72,78.6,495,385.55,77.9,2015-2016,
Kakamega,161,160.42,99.6,230.44,191.87,83.3,391,352.28,90,2015-2016,
Kericho,62.23,60.85,97.8,120.77,120.57,99.8,183,181.42,99.1,2015-2016,
Kiambu,173.01,170.99,98.8,215.07,213.76,99.4,388,384.75,99.1,2015-2016,
Kilifi,159.74,137.5,86.1,241.36,165.39,68.5,401,302.89,75.5,2015-2016,
Kirinyaga,109,99,90.8,68.16,61.38,90.1,177,160.38,90.5,2015-2016,
Kisii,85.38,85.38,100,307.96,292.17,94.9,393,377.55,96,2015-2016,
Kisumu,88.61,78.51,88.6,209.99,113.5,54.1,299,192.02,64.3,2015-2016,
Kitui,117.34,93.42,79.6,184.68,176.13,95.4,302,269.54,89.2,2015-2016,
Kwale,58.7,42.25,72,122.28,236.29,193.2,181,278.54,153.9,2015-2016,
Laikipia,54.62,52.2,95.6,127.6,118.47,92.8,182,170.67,93.7,2015-2016,
Lamu,89.18,84.71,95,113.02,95.49,84.5,202,180.2,89.1,2015-2016,
Machakos,174,177.4,102,155.16,166.41,107.3,329,343.81,104.5,2015-2016,
Makueni,100.3,103.7,103.4,132.39,159.92,120.8,233,263.63,113.3,2015-2016,
Mandera,43.38,34.58,79.7,91.74,91.74,100,135,126.32,93.5,2015-2016,
Marsabit,100,100,100,158.36,156.35,98.7,258,256.35,99.2,2015-2016,
Meru,125.88,125.45,99.7,181.71,112.18,61.7,308,237.62,77.3,2015-2016,
Migori,105.32,81.88,77.7,517.21,197.62,38.2,623,279.5,44.9,2015-2016,
Mombasa,42.4,10.44,24.6,300.49,117.27,39,343,127.71,37.2,2015-2016,
Murang’a,95.63,106.47,111.3,87.1,138.17,158.6,183,244.64,133.9,2015-2016,
Nairobi,250.74,244.94,97.7,386.31,237.31,61.4,637,482.25,75.7,2015-2016,
Nakuru,72.5,78.3,108,208.69,165.71,79.4,281,244,86.8,2015-2016,
Nandi,91.52,91.47,100,172.3,169.63,98.5,264,261.1,99,2015-2016,
Narok,20.12,8.63,42.9,109.79,57.49,52.4,130,66.12,50.9,2015-2016,
Nyamira,86.52,86.52,100,228.5,218.38,95.6,315,304.9,96.8,2015-2016,
Nyandarua,119.44,119.58,100.1,207.13,201.17,97.1,327,320.75,98.2,2015-2016,
Nyeri,109,108.35,99.4,147.34,58.21,39.5,256,166.56,65,2015-2016,
Samburu,43.12,27.81,64.5,162.52,124.08,76.3,206,151.89,73.9,2015-2016,
Siaya,31.22,30.29,97,362.21,287.93,79.5,393,318.22,80.9,2015-2016,
Taita Taveta,122.82,122.61,99.8,130.54,126.12,96.6,253,248.74,98.2,2015-2016,
Tana River,91.48,66.08,72.2,101.84,92.23,90.6,193,158.31,81.9,2015-2016,
Tharaka Nithi,57.2,67.18,117.5,86.32,47.07,54.5,144,114.25,79.6,2015-2016,
Trans Nzoia,52.77,56.65,107.3,106,140.61,132.6,159,197.25,124.2,2015-2016,
Turkana,190.89,190.89,100,204.06,208.5,102.2,395,399.39,101.1,2015-2016,
Uasin Gishu,90.58,92.87,102.5,186.22,80.97,43.5,277,173.84,62.8,2015-2016,
Vihiga,98.5,104.29,105.9,248.73,113.03,45.4,347,217.32,62.6,2015-2016,
Wajir,59.26,59.26,100,215.98,207.98,96.3,275,267.24,97.1,2015-2016,
West Pokot,82.53,81.54,98.8,191.91,192.02,100.1,274,273.56,99.7,2015-2016,
Baringo,116.31,117.61,101.1,67.39,77.54,115.1,183.7,195.15,106.2,2016-21017,
Bomet,109.75,109.74,100,97.45,93.99,96.5,207.2,203.73,98.3,2016-21017,
Bungoma,4.96,7.6,153.3,367.37,344.12,93.7,372.33,351.72,94.5,2016-21017,
Busia,53.2,65.58,123.3,162.73,120.67,74.1,215.94,186.25,86.2,2016-21017,
Elgeyo Marakwet,47.74,47.71,99.9,29.38,27.11,92.3,77.13,74.81,97,2016-21017,
Embu,117.87,117.85,100,79.55,43.4,54.6,197.42,161.25,81.7,2016-21017,
Garissa,66.4,66.28,99.8,94,90.39,96.2,160.4,156.67,97.7,2016-21017,
Homa Bay,62.33,57.69,92.6,102.22,76.86,75.2,164.54,134.55,81.8,2016-21017,
Isiolo,64.63,64.63,100,101.3,99.2,97.9,165.93,163.84,98.7,2016-21017,
Kajiado,199.78,50.75,25.4,298.57,288.97,96.8,498.35,339.73,68.2,2016-21017,
Kakamega,153,152.86,99.9,163.23,143.87,88.1,316.23,296.73,93.8,2016-21017,
Kericho,94.38,93.96,99.5,125.44,123.42,98.4,219.83,217.37,98.9,2016-21017,
Kiambu,242.82,240.32,99,254.87,215.86,84.7,497.69,456.19,91.7,2016-21017,
Kilifi,116.68,112.74,96.6,146.27,119.07,81.4,262.96,231.81,88.2,2016-21017,
Kirinyaga,103,103,100,78.05,54.88,70.3,181.05,157.88,87.2,2016-21017,
Kisii,96.25,96.25,100,360.69,372.65,103.3,456.94,468.9,102.6,2016-21017,
Kisumu,111.55,36.96,33.1,258.56,128.93,49.9,370.12,165.89,44.8,2016-21017,
Kitui,177.03,114,64.4,312.19,244.18,78.2,489.23,358.18,73.2,2016-21017,
Kwale,171.42,168.85,98.5,27.97,26.23,93.8,199.39,195.08,97.8,2016-21017,
Laikipia,57.25,53.67,93.8,97.62,95.49,97.8,154.87,149.16,96.3,2016-21017,
Lamu,33.64,32.57,96.8,78.92,67.69,85.8,112.56,100.26,89.1,2016-21017,
Machakos,208.58,208.57,100,374.69,165.88,44.3,583.27,374.45,64.2,2016-21017,
Makueni,100.97,97.6,96.7,177.8,179.48,100.9,278.77,277.07,99.4,2016-21017,
Mandera,98.56,85.09,86.3,89.61,83.41,93.1,188.17,168.51,89.6,2016-21017,
Marsabit,97.76,92.5,94.6,151.95,146.62,96.5,249.71,239.12,95.8,2016-21017,
Meru,209.75,207.69,99,139.43,97.27,69.8,349.18,304.96,87.3,2016-21017,
Migori,106.88,135.29,126.6,192.66,185.72,96.4,299.54,321,107.2,2016-21017,
Mombasa,64.56,1.83,2.8,272.19,116.22,42.7,336.75,118.05,35.1,2016-21017,
Murang’a,121.5,118.65,97.7,164.64,127.71,77.6,286.14,246.36,86.1,2016-21017,
Nairobi,315.6,315.17,99.9,569.14,324.16,57,884.74,639.33,72.3,2016-21017,
Nakuru,42.5,52.97,124.6,87.8,332.88,379.1,130.3,385.85,296.1,2016-21017,
Nandi,65,63.89,98.3,204,170.06,83.4,269,233.94,87,2016-21017,
Narok,107.77,69.64,64.6,134.42,86.96,64.7,242.19,156.6,64.7,2016-21017,
Nyamira,124.13,127.34,102.6,395.54,296.93,75.1,519.67,424.27,81.6,2016-21017,
Nyandarua,98.11,98.02,99.9,159.65,151.31,94.8,257.77,249.33,96.7,2016-21017,
Nyeri,129.5,129.4,99.9,174.94,114.68,65.6,304.44,244.08,80.2,2016-21017,
Samburu,61.97,51.86,83.7,88.78,78.06,87.9,150.75,129.93,86.2,2016-21017,
Siaya,81.42,78.43,96.3,249.75,182.93,73.2,331.16,261.36,78.9,2016-21017,
Taita Taveta,174.29,156.62,89.9,221.5,219.01,98.9,395.79,375.63,94.9,2016-21017,
Tana River,99.14,94.41,95.2,169.12,111.96,66.2,268.27,206.37,76.9,2016-21017,
Tharaka Nithi,55.66,62.18,111.7,136.65,67.65,49.5,192.31,129.84,67.5,2016-21017,
Trans Nzoia,73.47,70.98,96.6,76.7,297.24,387.5,150.17,368.23,245.2,2016-21017,
Turkana,98.48,87.1,88.4,235.43,233.7,99.3,333.91,320.8,96.1,2016-21017,
Uasin Gishu,67.61,74.01,109.5,253.19,207.51,82,320.8,281.52,87.8,2016-21017,
Vihiga,125.35,125.21,99.9,148.73,132.16,88.9,274.09,257.37,93.9,2016-21017,
Wajir,82.32,60.53,73.5,211.11,211.32,100.1,293.43,271.85,92.6,2016-21017,
West Pokot,89.41,89.3,99.9,245.6,311.32,126.8,335,400.62,119.6,2016-21017,
