County,Rec_Budget Estimates,Dev_Budget Estimates,Total_Budget Estimates,Rec_Expenditure ,Dev_Expenditure ,Total_Expenditure ,Recurrent Absorption Rate (%),Development Absorption Rate (%),Overall Absorption Rate,FYear,CID
Baringo,3540.88,2360.89,5901.78,3415.48,1273.08,4688.56,96.50,53.90,79.40,2015-2016,30
Bomet,2738.27,2432.69,5170.96,2769.96,2300.87,5070.83,101.20,94.60,98.10,2015-2016,36
Bungoma,6080.00,3973.69,10053.70,5251.90,3022.90,8274.80,86.40,76.10,82.30,2015-2016,39
Busia,3697.00,3603.61,7300.61,3409.77,2487.21,5865.76,92.20,69.00,80.30,2015-2016,40
Elgeyo Marakwet,2417.07,1433.24,3850.30,2274.58,653.94,2928.52,94.10,45.60,76.10,2015-2016,28
Embu,3407.19,2325.15,5732.35,3024.85,932.31,3957.16,88.80,40.10,69.00,2015-2016,14
Garissa,4101.55,3300.74,7402.29,3945.50,2600.90,6546.40,96.20,78.80,88.40,2015-2016,7
Homa Bay,4144.99,2406.56,6551.54,3873.01,1903.11,5776.12,93.40,79.10,88.20,2015-2016,43
Isiolo,2279.09,1456.27,3735.36,2127.49,1118.64,3246.13,93.30,76.80,86.90,2015-2016,11
Kajiado,4109.76,2717.77,6827.53,3595.71,1544.66,5140.37,87.50,56.80,75.30,2015-2016,34
Kakamega,6446.74,5865.71,12312.45,5605.76,4246.53,9852.29,87.00,72.40,80.00,2015-2016,37
Kericho,3423.27,2146.89,5570.16,3135.78,1676.54,4812.32,91.60,78.10,86.40,2015-2016,35
Kiambu,8298.07,3182.86,11480.94,8161.63,2265.67,10427.29,98.40,71.20,90.80,2015-2016,22
Kilifi,5572.34,5947.85,11520.19,4743.50,3725.87,8469.37,85.10,62.60,73.50,2015-2016,3
Kirinyaga,3266.19,1511.30,4777.49,3075.46,1065.09,4140.55,94.20,70.50,86.70,2015-2016,20
Kisii,5578.92,3601.15,9180.08,5399.74,2540.71,7940.45,96.80,70.60,86.50,2015-2016,45
Kisumu,5603.95,4033.67,9637.62,4611.29,1828.68,6439.96,82.30,45.30,66.80,2015-2016,42
Kitui,4691.76,5422.59,10114.35,4098.70,3771.92,7870.62,87.40,69.60,77.80,2015-2016,15
Kwale,2846.00,4765.48,7611.48,2543.64,3257.63,5801.27,89.40,68.40,76.20,2015-2016,2
Laikipia,3015.24,2169.14,5184.38,2676.56,1317.55,3994.11,88.80,60.70,77.00,2015-2016,31
Lamu,1757.12,1423.11,3180.23,1588.90,916.56,2505.46,90.40,64.40,78.80,2015-2016,5
Machakos,6018.20,5699.97,11718.17,5788.69,2539.96,8328.65,96.20,44.60,71.10,2015-2016,16
Makueni,4704.41,4745.52,9449.93,4001.25,1504.47,5505.73,85.10,31.70,58.30,2015-2016,17
