"Exchequer Releases from CRF to County Operations Accounts, FY 2015/16 (Kshs. Million)",,,,,,,,,
County,COUNTY ASSEMBLY,COUNTY EXECUTIVE,COMBINED EXCHEQUER ISSUES,,,,,,
"",Rec (Kshs),"Dev(Kshs)",Total,"Rec(Kshs)","Dev(Kshs)",Total,"Rec(Kshs)","Dev(Kshs)",Total
"",A,B,C=A+B,D,E,F=D+E,G=A+D,H=B+E,I=G+H
Isiolo,329.10,65.00,394.10,"1,810.90","1,055.00","2,865.90","2,140.00","1,120.00","3,260.00"
Kajiado,544.12,74.52,618.64,"3,565.39","1,493.01","5,058.40","4,109.51","1,567.53","5,677.03"
Kakamega,752.05,-,752.05,"5,629.20","5,172.82","10,802.01","6,381.25","5,172.82","11,554.07"
Kericho,516.97,-,516.97,"2,693.59","1,804.72","4,498.31","3,210.56","1,804.72","5,015.28"
Kiambu,827.46,44.00,871.46,"7,348.01","2,358.92","9,706.93","8,175.47","2,402.92","10,578.39"
Kilifi,802.82,220.00,"1,022.82","4,763.54","3,638.17","8,401.71","5,566.37","3,858.17","9,424.53"
Kirinyaga,477.25,10.00,487.25,"2,635.03","1,120.50","3,755.53","3,112.29","1,130.50","4,242.79"
Kisii,685.65,-,685.65,"4,714.28","2,548.23","7,262.51","5,399.93","2,548.23","7,948.16"
Kisumu,533.82,-,533.82,"5,065.48","1,904.56","6,970.04","5,599.30","1,904.56","7,503.86"
Kitui,626.40,147.65,774.04,"3,948.09","3,398.83","7,346.92","4,574.48","3,546.48","8,120.96"
Kwale,492.66,335.00,827.66,"2,353.33","3,094.54","5,447.87","2,846.00","3,429.54","6,275.53"
Laikipia,380.49,31.07,411.56,"2,460.76","1,256.62","3,717.38","2,841.25","1,287.69","4,128.94"
Lamu,344.52,31.46,375.98,"1,367.81",738.79,"2,106.60","1,712.33",770.25,"2,482.58"
Machakos,802.16,72.64,874.80,"5,159.17","2,467.13","7,626.31","5,961.33","2,539.77","8,501.10"
Makueni,611.87,92.37,704.23,"3,625.60","1,473.13","5,098.73","4,237.47","1,565.49","5,802.96"
Mandera,603.98,83.75,687.73,"3,511.55","5,367.56","8,879.11","4,115.53","5,451.31","9,566.84"
Marsabit,460.59,-,460.59,"2,575.46","2,732.60","5,308.06","3,036.05","2,732.60","5,768.65"
Meru,771.94,84.55,856.49,"3,776.66","2,023.17","5,799.83","4,548.60","2,107.72","6,656.32"
Migori,674.90,100.85,775.75,"3,307.10","2,404.15","5,711.25","3,982.00","2,505.00","6,487.00"
Mombasa,500.00,-,500.00,"5,452.75","2,455.08","7,907.83","5,952.75","2,455.08","8,407.83"
Murang’a,441.84,35.00,476.84,"2,945.81","2,735.04","5,680.84","3,387.65","2,770.04","6,157.69"
"NairobiCity","1,184.50",115.00,"1,299.50","14,103.76",120.00,"14,223.76","15,288.26",235.00,"15,523.26"
Nakuru,743.38,11.63,755.01,"7,004.03","2,527.66","9,531.69","7,747.41","2,539.29","10,286.70"
Nandi,519.54,28.00,547.54,"2,500.68","1,949.33","4,450.01","3,020.22","1,977.33","4,997.55"
Narok,590.50,52.00,642.50,"4,541.03","2,060.65","6,601.68","5,131.53","2,112.65","7,244.18"
Nyamira,428.74,-,428.74,"2,664.52","1,401.21","4,065.74","3,093.26","1,401.21","4,494.47"
Nyandarua,592.54,103.00,695.54,"2,680.48","1,704.84","4,385.33","3,273.03","1,807.84","5,080.87"
Nyeri,547.54,55.00,602.54,"3,818.92","1,265.93","5,084.85","4,366.46","1,320.93","5,687.39"
Samburu,431.76,40.00,471.76,"2,238.50","1,283.04","3,521.54","2,670.26","1,323.04","3,993.30"
Siaya,582.03,73.89,655.92,"2,889.78","1,893.11","4,782.88","3,471.81","1,967.00","5,438.81"
"Taita/Taveta",526.40,7.00,533.40,"2,210.41",812.92,"3,023.34","2,736.81",819.92,"3,556.74"
Tana River,413.20,97.79,510.99,"1,344.08","2,352.48","3,696.56","1,757.28","2,450.27","4,207.55"
"Tharaka –Nithi",329.46,-,329.46,"1,832.43","1,337.99","3,170.41","2,161.89","1,337.99","3,499.87"
Trans Nzoia,498.25,-,498.25,"2,745.99","2,645.59","5,391.58","3,244.24","2,645.59","5,889.83"
Turkana,977.90,155.98,"1,133.88","3,152.20","7,277.90","10,430.10","4,130.10","7,433.88","11,563.98"
"UasinGishu",478.38,28.71,507.10,"3,841.73","2,184.51","6,026.24","4,320.12","2,213.23","6,533.34"
Vihiga,623.92,50.00,673.92,"2,029.69","1,141.48","3,171.17","2,653.60","1,191.48","3,845.08"
Wajir,560.33,-,560.33,"3,297.02","3,982.31","7,279.33","3,857.35","3,982.31","7,839.65"
West Pokot,400.05,80.00,480.05,"2,410.21","1,682.24","4,092.45","2,810.26","1,762.24","4,572.50"
Total,"27,313.86","2,679.91","29,993.77","168,408.32","105,071.84","273,480.15","195,722.17","107,751.75","303,473.93"
