County,RecCA,DevCA,TotalCA,RecCE,DevCE,TotalCE,RecCO,DevCO,TotalCO,Fyear
Baringo,556.67,35,591.67,3314.98,1486.5,4801.49,3871.65,1521.5,5393.15,2016-2017
Bomet,483.82,-,483.82,3344.57,1706.96,5051.53,3828.38,1706.96,5535.35,2016-2017
Bungoma,838.41,88,926.41,5535.68,2816.4,8352.07,6374.08,2904.4,9278.48,2016-2017
Busia,633.73,90.14,723.87,3487,2555.24,6042.24,4120.73,2645.38,6766.1,2016-2017
Elgeyo Marakwet,460.86,16.04,476.9,2355.04,1218.43,3573.47,2815.9,1234.47,4050.37,2016-2017
Embu,489.55,-,489.55,3501.23,1940.47,5441.7,3990.78,1940.47,5931.25,2016-2017
Garissa,649.5,20,669.5,4032.13,2422.06,6454.19,4681.63,2442.06,7123.69,2016-2017
Homa Bay,730,10,740,4186,1583,5769,4916,1593,6509,2016-2017
Isiolo,377.9,177.1,555,1925.73,1024.92,2950.65,2303.63,1202.02,3505.65,2016-2017
Kajiado,550.68,69.16,619.84,3667.2,1108.31,4775.52,4217.88,1177.48,5395.35,2016-2017
Kakamega,899.91,-,899.91,5142.53,5052.5,10195.03,6042.44,5052.5,11094.94,2016-2017
Kericho,612.17,-,612.17,3111.15,2089.18,5200.32,3723.32,2089.18,5812.49,2016-2017
Kiambu,894.25,47.64,941.89,7900.38,2506.05,10406.43,8794.63,2553.69,11348.32,2016-2017
Kilifi,774.92,120,894.92,4885,3451.06,8336.06,5659.92,3571.06,9230.98,2016-2017
Kirinyaga,480.47,-,480.47,2853.56,1123.12,3976.68,3334.02,1123.12,4457.14,2016-2017
Kisii,791.07,113,904.07,5191,1927.6,7118.6,5982.06,2040.6,8022.66,2016-2017
Kisumu,654.62,-,654.62,5505.92,1908.38,7414.3,6160.55,1908.38,8068.93,2016-2017
Kitui,661.19,117.52,778.71,4641.27,3840.96,8482.23,5302.46,3958.48,9260.94,2016-2017
Kwale,492.92,270,762.92,3234.87,2031.29,5266.17,3727.79,2301.29,6029.08,2016-2017
Laikipia,360,15,375,3021.19,1364.19,4385.38,3381.19,1379.19,4760.38,2016-2017
Lamu,326,79.5,405.5,1576.25,970.43,2546.67,1902.25,1049.93,2952.17,2016-2017
Machakos,786.78,144.41,931.19,6117.57,2626.67,8744.25,6904.36,2771.08,9675.44,2016-2017
Makueni,628.4,59.94,688.34,4258.67,4444.66,8703.32,4887.07,4504.6,9391.66,2016-2017
Mandera,576.69,96.75,673.44,3760.02,5762.15,9522.17,4336.71,5858.9,10195.62,2016-2017
Marsabit,496.34,60.31,556.65,2890.14,2918.97,5809.12,3386.48,2979.28,6365.76,2016-2017
Meru,894.52,-,894.52,5422.94,2431.56,7854.51,6317.46,2431.56,8749.02,2016-2017
Migori,638,-,638,4118.22,2330,6448.22,4756.22,2330,7086.22,2016-2017
Mombasa,471.25,-,471.25,5694.77,2611.49,8306.27,6166.02,2611.49,8777.52,2016-2017
Murang’a,620,30,650,3542,2517,6059,4162,2547,6709,2016-2017
Nairobi,1286.13,94,1380.13,14161.36,-,14161.36,15447.49,94,15541.49,2016-2017
Nakuru,790.44,207.2,997.65,7243.95,3031.14,10275.09,8034.4,3238.34,11272.74,2016-2017
Nandi,550,118.9,668.9,2984.23,1584.5,4568.73,3534.23,1703.4,5237.63,2016-2017
Narok,543.1,70,613.1,4780.49,2080.83,6861.33,5323.59,2150.83,7474.42,2016-2017
Nyamira,488.71,51.88,540.59,3268.3,906.53,4174.83,3757.01,958.41,4715.42,2016-2017
Nyandarua,572.22,177,749.22,2857.43,1549.66,4407.09,3429.65,1726.66,5156.31,2016-2017
Nyeri,593.21,10.67,603.88,4067.85,1250.49,5318.34,4661.06,1261.16,5922.22,2016-2017
Samburu,449.81,55,504.81,2595.89,1178.04,3773.93,3045.7,1233.04,4278.73,2016-2017
Siaya,599.91,27.12,627.04,3283.09,2472.88,5755.96,3883,2500,6383,2016-2017
Taita Taveta,432.62,32.8,465.41,2489.65,938.77,3428.42,2922.26,971.56,3893.83,2016-2017
Tana River,450.91,98.36,549.27,1753.59,2198.7,3952.28,2204.5,2297.06,4501.56,2016-2017
Tharaka Nithi,340.1,-,340.1,2237.14,982.66,3219.8,2577.24,982.66,3559.9,2016-2017
Trans Nzoia,534.27,-,534.27,3690.21,1980.24,5670.45,4224.48,1980.24,6204.72,2016-2017
Turkana,763.43,253,1016.43,4399.23,7380.29,11779.51,5162.65,7633.29,12795.94,2016-2017
Uasin Gishu,482.13,12,494.13,4109.46,1849.52,5958.99,4591.59,1861.52,6453.12,2016-2017
Vihiga,533.77,61.37,595.14,2755.55,962.36,3717.92,3289.32,1023.73,4313.06,2016-2017
Wajir,645.13,-,645.13,3907.94,3549.04,7456.99,4553.08,3549.04,8102.12,2016-2017
West Pokot,440,84.98,524.98,2818.6,1616.54,4435.14,3258.6,1701.52,4960.12,2016-2017
Total,28326,3014,31340,191621,105282,296903,219947,108296,328243,2016-2017
