County,MCA Sitting Allowances,,,,
,"Budgetary
Allocation
(Kshs)","Expenditure
(Kshs)","Absorption
%","No. of MCAs &
Speaker","Average monthly
sitting allowance
Per MCA (Kshs)"
,A,B,C=B/A*100,D,E=B/D/12
Baringo,38703598,38470858,99.4,49,65427
Bomet,30904230,30801530,99.7,36,71300
Bungoma,68808000,72268114,105,64,94099
Busia,107827201,70680174,65.5,54,109074
Elgeyo/Marakwet,37496000,37495999,100,31,100796
Embu,28009000,29100453,103.9,34,71325
Garissa,87000000,78750800,90.5,49,133930
Homa Bay,126313600,100001220,79.2,64,130210
Isiolo,16215936,16215841,100,21,64349
Kajiado,66440344,22291100,33.6,42,44228
Kakamega,169674400,107881111,63.6,88,102160
Kericho,64399769,64399769,100,48,111805
Kiambu,103000000,102998348,100,88,97536
Kilifi,80712000,48740601,60.4,54,75217
Kirinyaga,62000000,36047900,58.1,30,100133
Kisii,94411955,90641000,96,72,104909
Kisumu,86050000,39178000,45.5,50,65297
Kitui,42788600,43065643,100.6,57,62961
Kwale,55216000,45115825,81.7,34,110578
Laikipia,31984000,29158665,91.2,24,101245
Lamu,20841400,20152222,96.7,21,79969
Machakos,65472714,48608100,74.2,60,67511
Makueni,47500000,49336323,103.9,48,85653
Mandera,63000000,21307139,33.8,49,36237
Marsabit,33500000,33482683,99.9,34,82065
Meru,104991600,94884000,90.4,70,112957
Migori,93783200,61281600,65.3,63,81060
Mombasa,81151324,48400353,59.6,43,93799
Murang’a,74609600,71473557,95.8,49,121554
Nairobi City,88047218,88047217,100,128,57322
Nakuru,61000000,91962340,150.8,75,102180
Nandi,73382400,58846300,80.2,49,100079
Narok,71510400,36608520,51.2,48,63556
Nyamira,68812800,25092400,36.5,34,61501
Nyandarua,35629600,35380986,99.3,42,70200
Nyeri,88857600,48017000,54,48,83363
Samburu,49785600,26613200,53.5,27,82140
Siaya,68684697,62683075,91.3,49,106604
Taita/Taveta,65436800,33109700,50.6,36,76643
Tana River,44990400,19651241,43.7,27,60652
Tharaka –Nithi,26660000,18015414,67.6,25,60051
Trans Nzoia,0,0,0,0,0
Turkana,0,0,,0,0
Uasin Gishu,61560000,43637100,70.9,45,80809
Vihiga,10330000,10330000,100,40,21521
Wajir,70361200,24635500,35,46,44630
West Pokot,46907060,46907060,100,33,118452
Total,3085640246,2317497969,75.1,2266,113636
