County,"Annual local
revenue target
FY 2016/17
(Kshs.)","1st Quarter,
FY 2016/17
Local
Revenue
(Kshs.)","2nd Quarter,
FY 2016/17
Local
Revenue
(Kshs.)","3rd Quarter
Local, FY
2016/17
Revenue
(Kshs.)","4th Quarter
Local, FY
2016/17
Revenue
(Kshs.)","FY 2016/17
Total Local
Revenue
(Kshs.)","% of Local
Revenue
Against
Annual
Local
Revenue
Target",Fyear
Baringo,330000000,91426072,59288234,71993883,65810488,288518677,87.4,2016-2017
Bomet,274724577,100163619,37172887,59790182,39570350,236697038,86.2,2016-2017
Bungoma,731896718,105524675,102599218,318591746,134872510,661588149,90.4,2016-2017
Busia,587510998,69988384,64398780,70612959,51826116,256826239,43.7,2016-2017
Elgeyo Marakwet,160021113,24905877,20542123,30143211,21732762,97323973,60.8,2016-2017
Embu,803772092,101490826,96524887,106261004,111995530,416272247,51.8,2016-2017
Garissa,350000000,21416486,19785201,21209079,19547385,81958151,23.4,2016-2017
Homa Bay,192162868,40697810,30910563,43019119,29504200,144131692,75,2016-2017
Isiolo,250000000,37940997,20195760,18608397,18250909,94996063,38,2016-2017
Kajiado,1248371716,121297878,104104688,223336412,108355091,557094069,44.6,2016-2017
Kakamega,894070561,102583711,88484734,109877097,142230478,443176020,49.6,2016-2017
Kericho,603346705,62380333,101541664,192943467,133115165,489980629,81.2,2016-2017
Kiambu,3070000000,403438150,421988774,751619872,455933962,2032980758,66.2,2016-2017
Kilifi,1585881577,144200292,181631997,190525270,103736016,620093575,39.1,2016-2017
Kirinyaga,743239866,78075942,49221110,126498377,66842870,320638299,43.1,2016-2017
Kisii,725000000,73292944,43301000,85864436,69186000,271644380,37.5,2016-2017
Kisumu,1584987119,211209760,241557388,323520926,227755832,1004043906,63.3,2016-2017
Kitui,668610000,91246587,56379145,87910618,79811014,315347364,47.2,2016-2017
Kwale,261048468,45057651,33730228,80231502,61991805,221011186,84.7,2016-2017
Laikipia,670000000,52413065,57605862,131123054,221581270,462723251,69.1,2016-2017
Lamu,100000000,7978400,14877084,19333329,34771975,76960788,77,2016-2017
Machakos,2861623481,295284724,224790482,431831079,307398659,1259304944,44,2016-2017
Makueni,330000000,43745134,26756815,83003428,62752599,216257976,65.5,2016-2017
Mandera,265643523,13926551,15431200,15366462,11119412,55843625,21,2016-2017
Marsabit,120000000,24102699,23876724,41823533,38927180,128730136,107.3,2016-2017
Meru,773236727,126054421,79538678,158780782,188294276,552668157,71.5,2016-2017
Migori,420000000,93850397,50246696,87072079,59646131,290815303,69.2,2016-2017
Mombasa,5289743050,351343709,496302660,1094101102,1224493490,3166240961,59.9,2016-2017
Murang’a,993550000,112311181,77881618,201466627,115026306,506685732,51,2016-2017
Nairobi City,19566000000,2038350816,2168459211,4509675319,2213345007,10929830353,55.9,2016-2017
Nakuru,2597264658,275572395,256823116,594952564,420946924,1548294999,59.6,2016-2017
Nandi,362283894,101587001,32145212,42772211,68226333,244730757,67.6,2016-2017
Narok,2891716734,824524753,389714485,259035136,60659586,1533933960,53,2016-2017
Nyamira,198230100,26655816,21268124,28397635,17598512,93920087,47.4,2016-2017
Nyandarua,390000000,49096833,53561192,110063996,84044542,296766563,76.1,2016-2017
Nyeri,1095101000,169833726,138378967,186919631,148006829,643139153,58.7,2016-2017
Samburu,345867422,65209411,40702426,44123057,37628610,187663504,54.3,2016-2017
Siaya,270000000,38807258,28605872,59304682,46119312,172837124,64,2016-2017
Taita/Taveta,355587656,39643238,30708423,44505991,57159460,172017112,48.4,2016-2017
Tana River,60000000,8349423,4949548,8952275,5165778,27417024,45.7,2016-2017
Tharaka Nithi,200000000,24263430,19747128,15211568,19347064,78569191,39.3,2016-2017
Trans Nzoia,500000000,67119995,30702605,78724118,41347085,217893803,43.6,2016-2017
Turkana,180000000,49848315,30508033,30080170,75880251,186316769,103.5,2016-2017
Uasin Gishu,1192000000,116685485,102105515,304538336,140501442,663830778,55.7,2016-2017
Vihiga,220000000,23560000,15947000,25223000,31303000,96033000,43.7,2016-2017
Wajir,230119950,21573075,17185915,20025115,17124615,75908720,33,2016-2017
West Pokot,122245626,19404094,16518847,22537121,24758845,83218907,68.1,2016-2017
Total,57664858199,7007433339,6238697819,11561500958,7715242976,32522875093,56.4,2016-2017
